model,reasoning_type,complexity,accuracy_mean,accuracy_stdev,score_mean,score_stdev,tokens_mean,tokens_stdev,time_mean,time_stdev,num_runs
gpt-4o,conflicting,1,0.8333333333333334,0.11547005383792519,0.8333333333333334,0.11547005383792519,12235.333333333334,231.5649656863778,0.0,0.0,3
gpt-4o,conflicting,2,0.8333333333333334,0.05773502691896256,0.8333333333333334,0.05773502691896256,14440.666666666666,540.8514891662344,0.0,0.0,3
gpt-4o,conflicting,3,0.7333333333333333,0.1527525231651947,0.7333333333333333,0.1527525231651947,26807.666666666668,9317.624178584008,0.0,0.0,3
gpt-4o,conflicting,4,0.5666666666666667,0.32145502536643183,0.5666666666666667,0.32145502536643183,37213.0,1162.8641365181059,0.0,0.0,3
gemini-3-flash-preview,multihop,1,1.0,0.0,1.0,0.0,5540.0,4548.380041289426,0.0,0.0,3
gemini-3-flash-preview,multihop,2,0.8666666666666667,0.05773502691896256,0.8833333333333333,0.028867513459481315,22768.333333333332,6808.647467253194,0.0,0.0,3
gemini-3-flash-preview,multihop,3,0.9333333333333333,0.11547005383792512,0.95,0.08660254037844388,91568.0,11504.036335130379,0.0,0.0,3
gemini-3-flash-preview,multihop,4,0.5666666666666667,0.15275252316519464,0.6666666666666667,0.12583057392117916,256458.33333333334,66031.85675364076,0.0,0.0,3
gemini-3-flash-preview,hierarchical,1,1.0,0.0,1.0,0.0,2443.3333333333335,1447.7369696644944,0.0,0.0,3
gemini-3-flash-preview,hierarchical,2,1.0,0.0,1.0,0.0,7741.0,1069.9911214584913,0.0,0.0,3
gemini-3-flash-preview,hierarchical,3,1.0,0.0,1.0,0.0,10068.0,317.0615082282931,0.0,0.0,3
gemini-3-flash-preview,hierarchical,4,1.0,0.0,1.0,0.0,17755.333333333332,614.613970987752,0.0,0.0,3
gemini-3-flash-preview,temporal,1,0.8518518518518519,0.25660011963983365,0.8518518518518519,0.25660011963983365,10674.333333333334,1198.5876410731646,0.0,0.0,3
gemini-3-flash-preview,temporal,2,0.7333333333333333,0.1527525231651947,0.7333333333333333,0.1527525231651947,10894.333333333334,2138.3513119535182,0.0,0.0,3
gemini-3-flash-preview,temporal,3,0.8,0.0,0.8,0.0,11651.666666666666,857.5082118168509,0.0,0.0,3
gemini-3-flash-preview,temporal,4,0.8666666666666667,0.11547005383792512,0.8666666666666667,0.11547005383792512,11513.333333333334,317.1030326776036,0.0,0.0,3
gemini-3-flash-preview,weighted,1,1.0,0.0,1.0,0.0,5716.333333333333,1449.7118104414178,0.0,0.0,3
gemini-3-flash-preview,weighted,2,0.8,0.10000000000000003,0.95,0.04999999999999999,19638.0,1520.5298418643417,0.0,0.0,3
gemini-3-flash-preview,weighted,3,0.8666666666666667,0.05773502691896256,0.9333333333333333,0.07637626158259735,43995.333333333336,6218.815508867692,0.0,0.0,3
gemini-3-flash-preview,weighted,4,0.7,0.10000000000000003,0.7966666666666666,0.14843629385474874,75700.33333333333,18410.174098398238,0.0,0.0,3
gemini-3-flash-preview,conflicting,1,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,15397.666666666666,654.9826969724722,0.0,0.0,3
gemini-3-flash-preview,conflicting,2,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,17473.0,392.99363862535995,0.0,0.0,3
gemini-3-flash-preview,conflicting,3,0.9,0.09999999999999998,0.9,0.09999999999999998,26718.666666666668,946.0255458143471,0.0,0.0,3
gemini-3-flash-preview,conflicting,4,0.9,0.09999999999999998,0.9,0.09999999999999998,47760.0,2011.5228062341228,0.0,0.0,3
gemini-3-pro-preview,multihop,1,1.0,0.0,1.0,0.0,6838.666666666667,5252.339891261164,0.0,0.0,3
gemini-3-pro-preview,multihop,2,0.8666666666666667,0.05773502691896256,0.8666666666666667,0.05773502691896256,39050.666666666664,15915.896120964517,0.0,0.0,3
gemini-3-pro-preview,multihop,3,0.9,0.0,0.9,0.0,129786.0,21023.161822142738,0.0,0.0,3
gemini-3-pro-preview,multihop,4,0.9,0.09999999999999998,0.9,0.09999999999999998,285596.3333333333,72030.56096084032,0.0,0.0,3
gemini-3-pro-preview,hierarchical,1,0.8333333333333334,0.28867513459481287,0.8333333333333334,0.28867513459481287,3743.6666666666665,2273.742363007149,0.0,0.0,3
