model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
gemini_2_0_flash,hierarchical,1,0.9166666666666666,0.14433756729740646,0.15745916432444343,3
gemini_2_0_flash,hierarchical,2,0.8333333333333334,0.1527525231651947,0.18330302779823363,3
gemini_2_0_flash,hierarchical,3,0.8666666666666667,0.05773502691896256,0.06661733875264911,3
gemini_2_0_flash,hierarchical,4,0.9,0.0,0.0,3
gemini_2_0_flash,multihop,1,1.0,0.0,0.0,3
gemini_2_0_flash,multihop,2,0.7333333333333334,0.05773502691896263,0.07872958216222176,3
gemini_2_0_flash,multihop,3,0.5,0.19999999999999998,0.39999999999999997,3
gemini_2_0_flash,multihop,4,0.3333333333333333,0.15275252316519466,0.458257569495584,3
gemini_2_0_flash,temporal,1,0.7444444444444445,0.3595264374969653,0.482945960816819,3
gemini_2_0_flash,temporal,2,0.7999999999999999,0.10000000000000003,0.12500000000000006,3
gemini_2_0_flash,temporal,3,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gemini_2_0_flash,temporal,4,0.9,0.09999999999999998,0.11111111111111108,3
gemini_2_0_flash,weighted,1,1.0,0.0,0.0,3
gemini_2_0_flash,weighted,2,0.5333333333333333,0.20816659994661327,0.3903123748998999,3
gemini_2_0_flash,weighted,3,0.4666666666666666,0.05773502691896257,0.12371791482634838,3
gemini_2_0_flash,weighted,4,0.6666666666666666,0.1527525231651947,0.22912878474779205,3
gemini_2_5_flash,conflicting,1,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gemini_2_5_flash,conflicting,2,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gemini_2_5_flash,conflicting,3,1.0,0.0,0.0,3
gemini_2_5_flash,conflicting,4,0.8333333333333334,0.11547005383792519,0.1385640646055102,3
gemini_2_5_flash,hierarchical,1,0.75,0.25,0.3333333333333333,3
gemini_2_5_flash,hierarchical,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gemini_2_5_flash,hierarchical,3,0.8666666666666667,0.05773502691896256,0.06661733875264911,3
gemini_2_5_flash,hierarchical,4,0.9,0.0,0.0,3
gemini_2_5_flash,multihop,1,1.0,0.0,0.0,3
gemini_2_5_flash,multihop,2,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
gemini_2_5_flash,multihop,3,0.7000000000000001,0.10000000000000003,0.1428571428571429,3
gemini_2_5_flash,multihop,4,0.5,0.09999999999999998,0.19999999999999996,3
gemini_2_5_flash,temporal,1,0.7814814814814816,0.29613421492800995,0.3789395167325246,3
gemini_2_5_flash,temporal,2,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
gemini_2_5_flash,temporal,3,0.8666666666666667,0.11547005383792514,0.13323467750529822,3
gemini_2_5_flash,temporal,4,0.9,0.09999999999999998,0.11111111111111108,3
