model,reasoning_type,complexity,mean,ci_lower,ci_upper,ci_width,n_samples
gpt_5_mini,multihop,1,0.6875,0.4375,0.875,0.4375,16
gpt_5_mini,multihop,2,0.7666666666666667,0.6,0.9,0.30000000000000004,30
gpt_5_mini,multihop,3,0.5833333333333334,0.4166666666666667,0.75,0.3333333333333333,30
gpt_5_mini,multihop,4,0.5666666666666667,0.4,0.7333333333333333,0.33333333333333326,30
gpt_5_mini,temporal,1,0.8214285714285714,0.6428571428571429,0.929464285714285,0.28660714285714206,28
gpt_5_mini,temporal,2,0.6333333333333333,0.43333333333333335,0.8,0.3666666666666667,30
gpt_5_mini,temporal,3,0.8333333333333334,0.6666666666666666,0.9666666666666667,0.30000000000000004,30
gpt_5_mini,temporal,4,0.9,0.8,1.0,0.19999999999999996,30
gpt_5_mini,weighted,1,0.9375,0.8125,1.0,0.1875,16
gpt_5_mini,weighted,2,0.7,0.5333333333333333,0.8666666666666667,0.33333333333333337,30
gpt_5_mini,weighted,3,0.4944444444444444,0.3165277777777779,0.6722222222222222,0.35569444444444426,30
gpt_5_mini,weighted,4,0.47333333333333333,0.3,0.6666666666666666,0.36666666666666664,30
gpt_5_nano,conflicting,1,0.43333333333333335,0.26666666666666666,0.6,0.3333333333333333,30
gpt_5_nano,conflicting,2,0.36666666666666664,0.2,0.5333333333333333,0.3333333333333333,30
gpt_5_nano,conflicting,3,0.26666666666666666,0.1,0.43333333333333335,0.33333333333333337,30
gpt_5_nano,conflicting,4,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.23333333333333334,30
gpt_5_nano,hierarchical,1,0.6875,0.4375,0.875,0.4375,16
gpt_5_nano,hierarchical,2,0.5666666666666667,0.4,0.7333333333333333,0.33333333333333326,30
gpt_5_nano,hierarchical,3,0.7666666666666667,0.6,0.9,0.30000000000000004,30
gpt_5_nano,hierarchical,4,0.65,0.4995833333333337,0.8,0.30041666666666633,30
gpt_5_nano,multihop,1,0.5625,0.3125,0.8125,0.5,16
gpt_5_nano,multihop,2,0.43333333333333335,0.26666666666666666,0.6,0.3333333333333333,30
gpt_5_nano,multihop,3,0.2,0.06666666666666667,0.3333333333333333,0.26666666666666666,30
gpt_5_nano,multihop,4,0.3333333333333333,0.16666666666666666,0.5,0.33333333333333337,30
gpt_5_nano,temporal,1,0.7142857142857143,0.5357142857142857,0.8571428571428571,0.3214285714285714,28
gpt_5_nano,temporal,2,0.6388888888888888,0.4666666666666667,0.8,0.33333333333333337,30
gpt_5_nano,temporal,3,0.5988888888888888,0.4421388888888889,0.7600833333333332,0.3179444444444443,30
gpt_5_nano,temporal,4,0.7833333333333333,0.6166666666666667,0.9166666666666666,0.29999999999999993,30
gpt_5_nano,weighted,1,0.9375,0.8125,1.0,0.1875,16
gpt_5_nano,weighted,2,0.6,0.43333333333333335,0.7666666666666667,0.33333333333333337,30
gpt_5_nano,weighted,3,0.2833333333333333,0.13333333333333333,0.4504166666666663,0.31708333333333294,30
gpt_5_nano,weighted,4,0.5333333333333333,0.36666666666666664,0.7,0.3333333333333333,30
